title|date|body_text|url
MAPATIZYA LAWMAKER HANDS OVER TWO KEY CDF PROJECTS TO THE COMMUNITY OF MANGONDA & ZIMBA WARDS.|2026-04-27|MAPATIZYA LAWMAKER HANDS OVER TWO KEY CDF PROJECTS TO THE COMMUNITY OF MANGONDA & ZIMBA WARDS. The Member of Parliament for Mapatizya Constituency, Emeldah Munashabantu, has commissioned key Constituency Development Fund (CDF) projects aimed at improving education, sanitation, and healthcare services in Zimba District. The commissioned projects include a 1×3 classroom block at Siameja Community School constructed at a cost of K1,265,906.80 and an ablution block with a water reticulation system at Zimba Mission Hospital Mothers’ Shelter, constructed at a total cost of K600,000 under the 2025 CDF. Speaking during the ceremonies, Hon. Munashabantu said the projects reflect the government’s commitment to taking development closer to the people and addressing pressing community needs. She noted that the classroom block will provide a conducive learning environment for pupils who previously relied on inadequate facilities such as a church building, while the health infrastructure will significantly improve sanitation, hygiene, and access to clean water for expectant mothers. Hon. Munashabantu emphasized that the lack of proper sanitation and water supply at the mothers’ shelter had long affected the dignity, health, and safety of women, adding that the newly commissioned facilities will help address these challenges. Meanwhile, Council Chairperson Loveness Chigora reaffirmed the local authority’s commitment to effective service delivery and prudent utilization of public resources. Council leadership noted that CDF continues to play a critical role in transforming communities by funding projects that directly respond to local needs. The Council also stressed the importance of promoting sanitation and hygiene, describing access to clean water and proper sanitation facilities as essential to public health and human dignity. District Commissioner has urged the community, school management, and hospital staff to take ownership of the newly commissioned infrastructure and ensure proper maintenance for long-term sustainability. Published April 27, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4201
THE CONSTRUCTION OF MARTENITY AT MAPATIZYA CLINIC IS A MILESTONE TO IMPROVED MARTERNAL HEALTH CARE-DR.MILIMO|2026-04-01|THE CONSTRUCTION OF MARTENITY AT MAPATIZYA CLINIC IS A MILESTONE TO IMPROVED MARTERNAL HEALTH CARE-DR.MILIMO Zimba Town Council Director of Health Services, Dr. Milimo Kayawa, has described the construction of a maternity annex under the Constituency Development Fund (CDF) and a mothers’ shelter by Non-Governmental Organisation On-Call Africa in Mapatizya as a significant milestone in improving maternal healthcare. Dr. Kayawa stated that the development represents a major physical transformation that government has delivered to the people of Mapatizya and surrounding areas. She explained that the new facility will allow expectant mothers to stay closer to the health centre, ensuring safer deliveries and access to proper maternal care. Dr. Kayawa further revealed that the maternity annex and mothers’ shelter will serve at least 10 rural health centres in the area, enhancing healthcare delivery across the district. She added that the maternity annex is equipped with both an antenatal clinic and a labour ward, making it easier for medical personnel to provide timely and efficient care to expectant mothers. Dr. Kayawa noted that the availability of these facilities is expected to significantly reduce cases of home deliveries, which often pose risks to both mothers and babies. Meanwhile, Government, through the CDF, has constructed the mothers’ shelter, while On-Call Africa is currently undertaking rehabilitation works at Mapatizya Clinic to further improve healthcare services in Zimba District. Published April 1, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4180
ZIMBA COUNCIL CHAIRPERSON HIGHLIGHTS STRONG PERFORMANCE IN THE IMPLEMENTATION OF GOVERNMENT PROGRAMS.|2026-03-26|ZIMBA COUNCIL CHAIRPERSON HIGHLIGHTS STRONG PERFORMANCE IN THE IMPLEMENTATION OF GOVERNMENT PROGRAMS. Zimba Town Council Chairperson, Madam Loveness Chigora, says the local authority has recorded notable success in the implementation of government programmes, attributing this to unity and strong working relationships between elected officials and management. Speaking during a breakfast show on Namwianga Radio Station this morning, Ms. Chigora noted that the district has benefited from a number of development projects due to the progressive policies of the New Dawn Government. She revealed that a total of 926 pupils benefited from the Secondary School Bursaries component between 2022 and 2025, while 930 youths benefited from the Skills Development component over the same period. Additionally, 378 youth and women’s clubs received empowerment grants, and 174 individual businesses and cooperatives accessed loans under the Constituency Development Fund (CDF). Ms. Chigora further commended the dedication of council officers, stating that their commitment to service delivery has greatly contributed to the district’s achievements. She added that Zimba Town Council is among the few local authorities that fully understand and align with the vision of President Hakainde Hichilema in the effective implementation of the CDF. She emphasized that all projects undertaken by the council are community-driven and based on the needs and priorities of the people. Published March 26, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4173
ZIMBA COUNCIL URGES CONTRACTORS TO ADHERE TO PROJECT TIMELINES|2026-03-26|ZIMBA COUNCIL URGES CONTRACTORS TO ADHERE TO PROJECT TIMELINES Zimba Council Secretary, Mr. Lubinda Mwala, has urged local contractors to strictly adhere to contracted project timelines, stating that the local authority will not entertain requests for extensions where funds have been fully disbursed and projects can be completed on time. Speaking during the opening of a contractors and suppliers sensitization meeting held in Zimba this morning, Mr. Mwala emphasized that timely completion of projects, cost-effectiveness, and quality workmanship will be key pillars in the implementation of the 2026 projects. He further called on contractors to ensure they obtain all required documentation legally and avoid compromising their bids through the use of fraudulent or illegal documents. Mr. Mwala reiterated that the local authority remains open and ready to assist citizens and stakeholders in understanding procurement and project implementation processes. He also assured contractors that preference will be given to locally based companies and suppliers in the execution of this year’s Constituency Development Fund (CDF) projects. The meeting featured presentations from the Engineering, Procurement, Legal, and Public Health departments. A total of seventeen local contractors attended the capacity-building session, including: Grerlin Building Limited, Muwemu Investment Limited, Ulonga General Dealers, Soar Construction Solutions, Ju-Gabs General Dealers, Godaso General Dealers, Omega Stationery & General Dealers, Patience Suppliers Zambia Limited, Mimak Construction & General Dealers, Zimba Youth Multipurpose, Militech Enterprise, Koyuma Suppliers, Tonacha General Dealers, Able Innovation, and Africrest Business. Published March 26, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4170
ZIMBA TOWN COUNCIL MONITORS CDF-SUPPORTED WATER PUMPS IN MULAMFU WARD|2026-03-13|ZIMBA TOWN COUNCIL MONITORS CDF-SUPPORTED WATER PUMPS IN MULAMFU WARD Zimba Town Council, through the Department of Planning, this week took time to appreciate and monitor the works being done using the water pumps that the Government, through the Constituency Development Fund (CDF), distributed to beneficiaries in Mulamfu Ward last year. A total of 20 water pumps were provided to help mitigate the effects of climate change by promoting winter farming. The pumps are enabling farmers to produce crops such as maize, vegetables, and other agricultural products, thereby enhancing food security and improving livelihoods in the community. During the monitoring exercise, officers from the Community Development Ms.Ndumwai Madabwali , Socio-Economic Planning Ms.Mainza Maambo and Public Health Mr.Thabo Sitali observed positive progress among the beneficiaries. Some cooperatives have expanded their activities and have even purchased chickens after selling vegetables produced last winter , showing the economic benefits of the initiative. Speaking during the visit, Siankope Zone WDC Zonal Chairperson, Ms. Kizito Munkombwe, said the cooperative is planning to continue with more winter farming activities shortly after the end of the rainy season. “Their target to buy more livestock in the next two years from the few produces they will make from the winter production,” Says Munkombwe. The initiative highlights the impact of the CDF programme in empowering communities and supporting sustainable agriculture in the district. Published March 13, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4151
GOVERNMENT APPROVES ELEVEN 2026 CDF PROJECTS FOR MAPATIZYA CONSTITUENCY.|2026-02-26|GOVERNMENT APPROVES ELEVEN 2026 CDF PROJECTS FOR MAPATIZYA CONSTITUENCY. The Government has approved eleven (11) Constituency Development funded Community Projects to be implemented in Mapatizya Constituency during the 2026 period, aimed at improving access to education and health services across the constituency. In Simwatachela Ward, the education sector will benefit from the provision of desks at Kabanga Secondary School and other selected schools that enrolled Form One pupils in 2026 across the district. The health sector in Misika will see the construction of a staff house, installation of water reticulation, development of a waste management facility, and the procurement of beds, chairs, and medical equipment at Misika Rural Health Centre. In Mafumba Ward, the Government has approved the construction of a staff house, waste management system, and the procurement of beds, chairs, and medical equipment at Mafumba Rural Health Post. After many years of waiting, Chuundwe Ward will witness the commencement of construction of a Rural Health Post, bringing essential health services closer to the community. In Siamafumba Ward, a 1×3 classroom block will be constructed at Mooka Primary School, while Kanyanga Ward will benefit from the construction of a Rural Health Centre at Syejumba Village. The education infrastructure drive continues in Mangonda Ward with the construction of a 1×3 classroom block at Sindowe Primary School, and in Zimba Ward with a 1×3 classroom block at Tore Shultz Primary School. Further, Chidi Ward will benefit from a 1×3 classroom block at Simukanda Primary School, while Luyaba Ward will see the construction of another 1×3 classroom block at Kakopa Primary School. This information has been issued by the Council Secretary, Lubinda Mwala, of Zimba Town Council. Published February 26, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4132
CONTRACTORS VISIT THE PROPOSED CDF SOLAR PLANT SITE IN ZIMBA DISTRICT.|2026-01-30|CONTRACTORS VISIT THE PROPOSED CDF SOLAR PLANT SITE IN ZIMBA DISTRICT. A site visitation exercise for contractors expected to bid for the Presidential Initiatives Solar Plant to be funded using the 2026 Constituency Development Fund in Zimba District has successfully been conducted. A total of nine contractors repreesented their companies in visiting the earmarked project site as part of the pre-bid process. The proposed site is located opposite Dayow Beef Co. Limited (Abattoir). The identified land is strategically positioned within a radius of 2.3 kilometres from the ZESCO Substation, which falls well within the recommended maximum distance of 5 kilometres for efficient power connectivity. This makes the site technically suitable for the establishment of the solar power plant which will be feeding into the national grid in the district. The solar plant project is among the key measures the Government has put in place to help address the power deficit currently being experienced in the country. The project will be funded under the Constituency Development Fund (CDF) and is expected to contribute to improved energy security and sustainable development in the district. Officers from Zimba Town Council who witnessed the site visitation included, Mr. Mattias Phiri – Director of Engineering,Ms. Annet Hamachili – Director of Planning,Mr. Obert Chivwanda – Senior Building Inspector and Assistant Director Mr.Sunday Nalumino. Zimba Town Council remains committed to supporting national development programmes and ensuring that projects implemented in the district meet required technical and planning standards for the benefit of the community. Published January 30, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4100
ZIMBA TOWN COUNCIL UNVEILS 2026 OUTPUT-BASED BUDGET ESTIMATES.|2026-01-14|ZIMBA TOWN COUNCIL UNVEILS 2026 OUTPUT-BASED BUDGET ESTIMATES. Zimba Town Council held its ordinary council meeting on 30th December 2025, during which a number of key governance and development issues were discussed, including the financial outlook for the coming year. Prior to the ordinary sitting, the Council convened a special full Council meeting to consider and adopt the 2026 output-based annual budget. The budget was subsequently approved, marking an increase from K87,322,876 in 2025 to K88,945,664 in 2026. The increment has largely been attributed to increased allocations of the Constituency Development Fund (CDF) and other funding from the central government and donors. Under the approved budget, CDF has risen from K36,058,151 in 2025 to K40,032,550 in 2026. Local governance allocation has also increased from K1,641,366 to K1,797,099, while integrated development planning has been allocated K1,687,933. Economic and business development will receive K42,435. The Agriculture sector has been allocated K534,033, an increase from last year’s K459,034, while Livestock and Fisheries has received K503,176, up from K490,612. Health services recorded a significant boost, with an allocation of K6,351,370, representing a 100 percent increase from K3,200,587 in 2025. Meanwhile, social protection and community development has been allocated K17,960,467, reflecting a slight reduction from last year’s K18,193,033. Both the special and ordinary council meetings were attended by all twelve councillors and heads of departments, underscoring the importance of the deliberations. The 2026 output-based annual budget was presented by the Director of Finance, Mr. Martin Lindunda, who outlined the key changes and priorities aimed at enhancing service delivery and supporting local development in Zimba District. Published January 14, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4089
MULAMFU RURAL HEALTH POST, STAFF HOUSES AND WATER RETICULATION SYSTEM NEAR COMMISSIONING|2026-01-13|The Mulamfu Rural Health Post maternity annex, staff houses and water reticulation system are nearing commissioning following the successful completion of key remedial works aimed at making the facility fully operational. This week, Council Secretary Mr. Collins Simoonga led a team of council officers alongside the Mapatizya Constituency Development Fund Committee (CDFC) Chairperson, Mr. Victor Sindowe, to inspect ongoing remedial works at the Mulamfu health facility. The project is being implemented with support from the Constituency Development Fund (CDF). The remedial works include the completion of plumbing installations and connection of pipes to fully operationalise the water reticulation system within the maternity annex. In addition, new solar batteries have been procured and installed to enhance solar-powered lighting, ensuring reliable energy supply for the facility. A multidisciplinary team comprising engineers, plumbers and electricians from the local authority has been stationed at the site for the past 14 days. The team is working to ensure that all outstanding works are completed to the required standards and that the facility is ready for handover to the community. Once commissioned, the Mulamfu Maternity Annex is expected to significantly reduce pressure on nearby health facilities, particularly Kabanga Rural Health Centre in Simwatachela Ward and Chidi Rural Health Centre in Chidi Ward, both of which are located approximately 15 kilometres away. The long distance has previously posed serious challenges for expectant mothers and patients seeking medical services. The completion of the facility will greatly improve access to maternal and general health services for residents of Mulamfu Ward and surrounding areas. The official commissioning date will be announced in due course. Residents of Mulamfu Ward are expected to mark the milestone as the facility begins delivering much-needed health services closer to the community.|https://www.zimbacouncil.gov.zm/?p=4055
PRESIDENT HICHILEMA HIGHLIGHTS GOVERNMENT COMMITMENT TO UNITY, EDUCATION AND DEVELOPMENT IN 2026.|2026-01-12|PRESIDENT HICHILEMA HIGHLIGHTS GOVERNMENT COMMITMENT TO UNITY, EDUCATION AND DEVELOPMENT IN 2026. President Hakainde Hichilema has reaffirmed his commitment to serving the people of Zambia, stating that he intentionally chose public service because of his love for the Zambian people. Speaking during a community engagement, President Hichilema said his Government will continue taking care of citizens and called for unity and mutual care among Zambians. He cited Free Education as a key indicator of his Government’s love and commitment to the people, adding that the delivery of desks to schools under the Constituency Development Fund (CDF) is another demonstration of care for communities across the country. The President further noted that the employment of teachers was a deliberate move to improve the education sector and uplift the livelihoods of citizens. He also highlighted the revival of the mining sector, saying it has brought life back to mining communities and strengthened the economy. President Hichilema added that his Government has constructed palaces for traditional leaders, built houses for chief retainers, and provided motorbikes to support traditional governance structures. Looking ahead to 2025, the President said there is a need to increase investment in the drilling of boreholes and construction of schools under the CDF, in order to further improve access to essential services. On governance reforms, President Hichilema explained that the promotion of Bill 7, now enacted as the Constitution Amendment Act No. 13 of 2025, was aimed at increasing women and youth representation in Parliament. He said the Act will promote proportional representation, thereby strengthening inclusiveness in the country’s democratic system. The President was speaking during a rally held at Choma Sports Club on Wednesday. Zimba Town Council Chairperson Madam Loveness Chigora and District Commissioner Mr. Robinson Mulamfu were among the dignitaries in attendance. Published January 12, 2026 By Mastone Moonze Categorized as Uncategorized|https://www.zimbacouncil.gov.zm/?p=4051
