project_id|project_name|sector|constituency|funding_source|funding_amount_zmw|status|date_reported|description|source_url|description_clean
ZTC-001|2023 CDF cooperative and company loans|other|Mapatizya|CDF||completed|2023-11-02|Loans were disbursed to 26 cooperatives and companies. The amount is left blank because the source prints the malformed figure K2, 93, 400.|https://www.zimbacouncil.gov.zm/?p=911|loans disbursed 26 cooperatives companies amount left blank because source prints malformed figure k2 93 400
ZTC-002|2023 CDF women and youth club grants|other|Mapatizya|CDF|2143990.0|completed|2023-11-02|K2,143,990 in grants was awarded to 65 women and youth clubs. Completed refers to the reported award, not subsequent activities.|https://www.zimbacouncil.gov.zm/?p=911|k2 143 990 grants awarded 65 women youth clubs completed refers reported award not subsequent activities
ZTC-003|Mapatizya 2620 school desks distribution|education|Mapatizya|CDF|2887051.0|completed|2023-11-02|Distribution of 2,620 desks procured under 2022 and 2023 CDF was launched. The printed amount K 2, 887,051 is normalized by removing spaces and commas.|https://www.zimbacouncil.gov.zm/?p=911|distribution 2 620 desks procured under 2022 2023 cdf launched printed amount k 2 887 051 normalized removing spaces commas
ZTC-004|Cikuyu Primary School 1x3 classroom block|education|Chalimongela|CDF||completed|2023-11-27|The classroom block was listed among completed 2022 CDF projects awaiting commissioning.|https://www.zimbacouncil.gov.zm/?p=982|classroom block listed among completed 2022 cdf projects awaiting commissioning
ZTC-005|Mbwiko Ward clinic|health|Mbwiko|CDF||completed|2023-11-27|A clinic in Mbwiko Ward was listed among completed 2022 CDF projects awaiting commissioning.|https://www.zimbacouncil.gov.zm/?p=982|clinic mbwiko ward listed among completed 2022 cdf projects awaiting commissioning
ZTC-006|Mulamfwu Ward clinic|health|Mulamfwu|CDF||completed|2023-11-27|A clinic in Mulamfwu Ward was listed among completed 2022 CDF projects awaiting commissioning.|https://www.zimbacouncil.gov.zm/?p=982|clinic mulamfwu ward listed among completed 2022 cdf projects awaiting commissioning
ZTC-007|Muziya Primary School 1x3 classroom block|education|Mangonda|CDF||completed|2023-11-27|The council listed the classroom block among completed 2022 CDF projects awaiting commissioning; the Muziya spelling is retained from this source.|https://www.zimbacouncil.gov.zm/?p=982|council listed classroom block among completed 2022 cdf projects awaiting commissioning muziya spelling retained source
ZTC-008|Nkungwa Primary School 1x3 classroom block|education|Kanyanga|CDF||completed|2023-11-27|The classroom block was listed among completed 2022 CDF projects awaiting commissioning.|https://www.zimbacouncil.gov.zm/?p=982|classroom block listed among completed 2022 cdf projects awaiting commissioning
ZTC-009|Zimba Secondary School industrial borehole|water_sanitation|Mapatizya|CDF|240000.0|unspecified|2024-05-07|K240,000 financed a 200-metre industrial borehole under the CDF disaster component. The article refers to the drilled facility but does not clearly establish completion of all works.|https://www.zimbacouncil.gov.zm/?p=1479|k240 000 financed 200 metre industrial borehole under cdf disaster component article refers drilled facility but does not clearly establish completion all works
ZTC-010|Mapatizya CDF ambulance procurement announcement|health|Mapatizya|CDF||unspecified|2024-09-03|The minister stated that ambulances had been procured nationally using CDF and Mapatizya was expected to receive one that year. Delivery to the constituency was not confirmed.|https://www.zimbacouncil.gov.zm/?p=1518|minister stated ambulances had procured nationally using cdf mapatizya expected receive one year delivery constituency not confirmed
