project_id|project_name|sector|constituency|funding_source|funding_amount_zmw|status|date_reported|description|source_url
ZTC-001|Development Fund – CDF to all the schools in Mapatizya Constituency|education|Mapatizya|CDF|||2023-11-02|Government through Zimba Town Council has launched the distribution of 2, 620 desks procured under the 2022 and part of the 2023 allocation of the Constituency Development Fund – CDF to all the schools in Mapatizya Constituency.|https://www.zimbacouncil.gov.zm/?p=911
ZTC-002|development and economic growth|education|Mapatizya|CDF|||2023-11-02|The Council Chairperson emphasized that the giving out of CDF loans and grants to the citizens is a new dawn Government’s vision to create an enabling business environment for entrepreneurship, skills development and economic growth.|https://www.zimbacouncil.gov.zm/?p=911
ZTC-003|procurement of desks is a combination of 2022 and 2023 funding|education|Mapatizya|CDF|||2023-11-02|The empowerment of grants and loans was derived from the 2023 allocation of CDF, while the procurement of desks is a combination of 2022 and 2023 funding.|https://www.zimbacouncil.gov.zm/?p=911
ZTC-004|construction of classroom blocks under the Constituency Development Fund-CDF|education|Mapatizya|CDF|||2023-11-21|He further spelt out the government’s commitment to protecting children’s rights through the implementation of various policies such as the introduction of free education, distribution of desks and the construction of classroom blocks under the Constituency Development Fund-CDF.|https://www.zimbacouncil.gov.zm/?p=963
ZTC-005|installation of boreholes, bathing shelters for girl-children and VIP Toilets in Zimba District|water_sanitation|Mapatizya||||2023-11-21|Environment Africa Zambia has dedicated today’s commemoration of International Day of Children’s in launching the installation of boreholes, bathing shelters for girl-children and VIP Toilets in Zimba District.|https://www.zimbacouncil.gov.zm/?p=963
ZTC-006|Construction of 1×3 Classroom block at Nkungwa Primary School in Kanyanga Ward|education|Kanyanga|CDF|||2023-11-27|2. Construction of 1×3 Classroom block at Nkungwa Primary School in Kanyanga Ward.|https://www.zimbacouncil.gov.zm/?p=982
ZTC-007|Construction of 1×3 classroom blocks at Muziya Primary School in Mangonda ward|education|Mangonda|CDF|||2023-11-27|1. Construction of 1×3 classroom blocks at Muziya Primary School in Mangonda ward.|https://www.zimbacouncil.gov.zm/?p=982
ZTC-008|Construction of Clinics in Mulamfwu and Mbwiko wards|health|Mapatizya|CDF|||2023-11-27|3. Construction of Clinics in Mulamfwu and Mbwiko wards.|https://www.zimbacouncil.gov.zm/?p=982
ZTC-009|Construction of a 1×3 Classroom block at Cikuyu Primary School in Chalimongela ward|education|Chalimongela|CDF|||2023-11-27|4. Construction of a 1×3 Classroom block at Cikuyu Primary School in Chalimongela ward.|https://www.zimbacouncil.gov.zm/?p=982
ZTC-010|GOVERNMENT ORIENTS MAPATIZYA COUNCILORS ON DECENTRALIZATION & PROCUREMENT PROCESSES.|other|Mapatizya|CDF|||2024-04-23|GOVERNMENT ORIENTS MAPATIZYA COUNCILORS ON DECENTRALIZATION & PROCUREMENT PROCESSES. Government through Zimba Town Council has successfully conducted orientation training for all the 12 ward councilors in Mapatizya constituency with an objective of equipping them with knowledge on the implementation of the decentralization policy.|https://www.zimbacouncil.gov.zm/?p=1467
ZTC-011|Development Committee for facilitating the allocation of funds to resolve the situation at the secondary school|water_sanitation|Mapatizya||||2024-05-07|Mr. Mulamfwu commended the Mapatizya Constituency Development Committee for facilitating the allocation of funds to resolve the situation at the secondary school.|https://www.zimbacouncil.gov.zm/?p=1479
ZTC-012|Development Fund (CDF) to address sanitation challenges at the school and create a healthy learning environment for students|water_sanitation||CDF|||2024-05-07|The project has been financed through the 5% disaster component of the Constituency Development Fund (CDF) to address sanitation challenges at the school and create a healthy learning environment for students.|https://www.zimbacouncil.gov.zm/?p=1479
ZTC-013|HEALTH MINISTER IMPRESSED WITH IMPLEMENTATION OF PRESIDENTIAL DIRECTIVE ON HEALTH CARES SERVICES IN ZIMBA DISTRICT|water_sanitation|Mapatizya|CDF|||2024-09-03|HEALTH MINISTER IMPRESSED WITH IMPLEMENTATION OF PRESIDENTIAL DIRECTIVE ON HEALTH CARES SERVICES IN ZIMBA DISTRICT The Minister of Health Dr. Elijah Muchima, yesterday led a high powered delegation of senior government officers from the Ministry in conducting a familiarization tour of Zimba mission Hospital and Nursing school.|https://www.zimbacouncil.gov.zm/?p=1518
